eco,opening_name,month,actual,forecast,lower_ci,upper_ci,is_forecast,structural_break,model_tier,forecast_quality,model_tier_override,model_name
A01,A01,2024-12,0.4875198858960996,,,,False,False,1,medium,,holt_winters
A01,A01,2025-01,0.4940882682703088,,,,False,False,1,medium,,holt_winters
A01,A01,2025-02,0.4912207437216453,,,,False,False,1,medium,,holt_winters
A01,A01,2025-03,0.4932547681811133,,,,False,False,1,medium,,holt_winters
A01,A01,2025-04,0.4946185559487759,,,,False,False,1,medium,,holt_winters
A01,A01,2025-05,0.4940089779005525,,,,False,False,1,medium,,holt_winters
A01,A01,2025-06,0.4914016900426866,,,,False,False,1,medium,,holt_winters
A01,A01,2025-07,0.4989981321107148,,,,False,False,1,medium,,holt_winters
A01,A01,2025-08,0.4927436804052984,,,,False,False,1,medium,,holt_winters
A01,A01,2025-09,0.4924060282648214,,,,False,False,1,medium,,holt_winters
A01,A01,2025-10,0.4942150533788738,,,,False,False,1,medium,,holt_winters
A01,A01,2025-11,0.4923312304030826,,,,False,False,1,medium,,holt_winters
A01,A01,2025-12,0.4957917065827288,,,,False,False,1,medium,,holt_winters
A01,A01,2026-01,0.4958022780422969,,,,False,False,1,medium,,holt_winters
A01,A01,2026-02,0.4919225481209899,,,,False,False,1,medium,,holt_winters
A01,A01,2026-03,0.4891028212327851,,,,False,False,1,medium,,holt_winters
A01,A01,2026-04,0.4935533780299123,,,,False,False,1,medium,,holt_winters
A01,A01,2026-05,,0.491956,0.486291,0.497622,True,False,1,medium,,holt_winters
A01,A01,2026-06,,0.491871,0.486177,0.497564,True,False,1,medium,,holt_winters
A01,A01,2026-07,,0.491785,0.485976,0.497594,True,False,1,medium,,holt_winters
A02,A02,2023-01,0.4887467424780857,,,,False,False,1,medium,,holt_winters
A02,A02,2023-02,0.4902581919749301,,,,False,False,1,medium,,holt_winters
A02,A02,2023-03,0.4917016058856103,,,,False,False,1,medium,,holt_winters
A02,A02,2023-04,0.4916303103437606,,,,False,False,1,medium,,holt_winters
A02,A02,2023-05,0.485842471018244,,,,False,False,1,medium,,holt_winters
A02,A02,2023-06,0.4905750930906082,,,,False,False,1,medium,,holt_winters
A02,A02,2023-07,0.4887091338051904,,,,False,False,1,medium,,holt_winters
A02,A02,2023-08,0.482868137592633,,,,False,False,1,medium,,holt_winters
A02,A02,2023-09,0.4858757062146893,,,,False,False,1,medium,,holt_winters
A02,A02,2023-10,0.4833220317091284,,,,False,False,1,medium,,holt_winters
A02,A02,2023-11,0.4869685858685957,,,,False,True,1,medium,,holt_winters
A02,A02,2023-12,0.4856524093123985,,,,False,True,1,medium,,holt_winters
A02,A02,2024-01,0.4894941145039367,,,,False,True,1,medium,,holt_winters
A02,A02,2024-02,0.485438022295692,,,,False,False,1,medium,,holt_winters
A02,A02,2024-03,0.4859577572200669,,,,False,True,1,medium,,holt_winters
A02,A02,2024-04,0.4894696822337359,,,,False,True,1,medium,,holt_winters
A02,A02,2024-05,0.4896311218702917,,,,False,False,1,medium,,holt_winters
A02,A02,2024-06,0.4884084870983003,,,,False,False,1,medium,,holt_winters
A02,A02,2024-07,0.4869885839892222,,,,False,False,1,medium,,holt_winters
A02,A02,2024-08,0.4893123475033506,,,,False,False,1,medium,,holt_winters
A02,A02,2024-09,0.4879551224015196,,,,False,False,1,medium,,holt_winters
A02,A02,2024-10,0.4889002704908849,,,,False,False,1,medium,,holt_winters
A02,A02,2024-11,0.4893324393556484,,,,False,False,1,medium,,holt_winters
A02,A02,2024-12,0.4910163103515498,,,,False,False,1,medium,,holt_winters
A02,A02,2025-01,0.4874947927113388,,,,False,False,1,medium,,holt_winters
A02,A02,2025-02,0.4884295464240011,,,,False,False,1,medium,,holt_winters
A02,A02,2025-03,0.4835084869100201,,,,False,False,1,medium,,holt_winters
A02,A02,2025-04,0.4883204516895323,,,,False,False,1,medium,,holt_winters
A02,A02,2025-05,0.483229503222006,,,,False,False,1,medium,,holt_winters
A02,A02,2025-06,0.4886822664580225,,,,False,False,1,medium,,holt_winters
A02,A02,2025-07,0.4869779488470808,,,,False,False,1,medium,,holt_winters
A02,A02,2025-08,0.4857231760442215,,,,False,False,1,medium,,holt_winters
A02,A02,2025-09,0.4858647969704923,,,,False,False,1,medium,,holt_winters
A02,A02,2025-10,0.490203286402235,,,,False,False,1,medium,,holt_winters
A02,A02,2025-11,0.4862460579324425,,,,False,False,1,medium,,holt_winters
A02,A02,2025-12,0.4826139088729017,,,,False,False,1,medium,,holt_winters
A02,A02,2026-01,0.4861858629350556,,,,False,False,1,medium,,holt_winters
A02,A02,2026-02,0.4871507545196474,,,,False,False,1,medium,,holt_winters
A02,A02,2026-03,0.4844171779141104,,,,False,False,1,medium,,holt_winters
A02,A02,2026-04,0.4892572356763142,,,,False,False,1,medium,,holt_winters
A02,A02,2026-05,,0.486313,0.481455,0.491172,True,False,1,medium,,holt_winters
A02,A02,2026-06,,0.486258,0.481376,0.491139,True,False,1,medium,,holt_winters
A02,A02,2026-07,,0.486202,0.481221,0.491182,True,False,1,medium,,holt_winters
A03,A03,2023-01,0.4958434758646029,,,,False,False,1,medium,,holt_winters
A03,A03,2023-02,0.4929193899782135,,,,False,False,1,medium,,holt_winters
A03,A03,2023-03,0.496523330283623,,,,False,False,1,medium,,holt_winters
A03,A03,2023-04,0.4944441945206712,,,,False,False,1,medium,,holt_winters
A03,A03,2023-05,0.4895382230934038,,,,False,False,1,medium,,holt_winters
A03,A03,2023-06,0.488490069394592,,,,False,False,1,medium,,holt_winters
A03,A03,2023-07,0.4894896339410265,,,,False,False,1,medium,,holt_winters
A03,A03,2023-08,0.4888834714773281,,,,False,False,1,medium,,holt_winters
A03,A03,2023-09,0.493099660952199,,,,False,False,1,medium,,holt_winters
A03,A03,2023-10,0.4873777363763391,,,,False,False,1,medium,,holt_winters
A03,A03,2023-11,0.4902205177372962,,,,False,False,1,medium,,holt_winters
A03,A03,2023-12,0.488021778584392,,,,False,False,1,medium,,holt_winters
A03,A03,2024-01,0.5013947958110395,,,,False,True,1,medium,,holt_winters
A03,A03,2024-02,0.4895539792051307,,,,False,False,1,medium,,holt_winters
A03,A03,2024-03,0.493020121305478,,,,False,False,1,medium,,holt_winters
A03,A03,2024-04,0.495973906839262,,,,False,False,1,medium,,holt_winters
A03,A03,2024-05,0.4954204022292222,,,,False,False,1,medium,,holt_winters
A03,A03,2024-06,0.4915523542185265,,,,False,False,1,medium,,holt_winters
A03,A03,2024-07,0.492903291448339,,,,False,False,1,medium,,holt_winters
A03,A03,2024-08,0.4907905782430497,,,,False,False,1,medium,,holt_winters
A03,A03,2024-09,0.4896173165553311,,,,False,False,1,medium,,holt_winters
A03,A03,2024-10,0.4919418881674218,,,,False,False,1,medium,,holt_winters
A03,A03,2024-11,0.4958361007510345,,,,False,False,1,medium,,holt_winters
A03,A03,2024-12,0.4969901276185889,,,,False,False,1,medium,,holt_winters
A03,A03,2025-01,0.4982204802450781,,,,False,False,1,medium,,holt_winters
A03,A03,2025-02,0.4937939594538684,,,,False,False,1,medium,,holt_winters
A03,A03,2025-03,0.4908692476260043,,,,False,False,1,medium,,holt_winters
A03,A03,2025-04,0.4968149646107179,,,,False,False,1,medium,,holt_winters
A03,A03,2025-05,0.4865219215439479,,,,False,False,1,medium,,holt_winters
A03,A03,2025-06,0.4955846366634748,,,,False,False,1,medium,,holt_winters
A03,A03,2025-07,0.4907563025210084,,,,False,False,1,medium,,holt_winters
A03,A03,2025-08,0.4914400805639476,,,,False,False,1,medium,,holt_winters
A03,A03,2025-09,0.4976274884101445,,,,False,False,1,medium,,holt_winters
A03,A03,2025-10,0.4980471884864373,,,,False,False,1,medium,,holt_winters
A03,A03,2025-11,0.4984899062152281,,,,False,False,1,medium,,holt_winters
A03,A03,2025-12,0.4830215590542542,,,,False,False,1,medium,,holt_winters
A03,A03,2026-01,0.490017569078422,,,,False,False,1,medium,,holt_winters
A03,A03,2026-02,0.4936140274921528,,,,False,False,1,medium,,holt_winters
A03,A03,2026-03,0.4909582092843753,,,,False,False,1,medium,,holt_winters
A03,A03,2026-04,0.4927962982437691,,,,False,False,1,medium,,holt_winters
A03,A03,2026-05,,0.493119,0.485214,0.501023,True,False,1,medium,,holt_winters
A03,A03,2026-06,,0.493139,0.485196,0.501082,True,False,1,medium,,holt_winters
A03,A03,2026-07,,0.493158,0.485054,0.501263,True,False,1,medium,,holt_winters
A05,A05,2023-01,0.5046536690506516,,,,False,False,1,high,,holt_winters
A05,A05,2023-02,0.5091496232508074,,,,False,False,1,high,,holt_winters
A05,A05,2023-03,0.5097092366176924,,,,False,False,1,high,,holt_winters
A05,A05,2023-04,0.511863299956465,,,,False,False,1,high,,holt_winters
A05,A05,2023-05,0.5168141592920354,,,,False,False,1,high,,holt_winters
A05,A05,2023-06,0.5133648663513365,,,,False,False,1,high,,holt_winters
A05,A05,2023-07,0.5195799606213083,,,,False,True,1,high,,holt_winters
A05,A05,2023-08,0.5125723303524461,,,,False,True,1,high,,holt_winters
A05,A05,2023-09,0.518705035971223,,,,False,True,1,high,,holt_winters
A05,A05,2023-10,0.5181954887218045,,,,False,True,1,high,,holt_winters
A05,A05,2023-11,0.5198525539757767,,,,False,True,1,high,,holt_winters
A05,A05,2023-12,0.5124541780242504,,,,False,True,1,high,,holt_winters
A05,A05,2024-01,0.5178972008192724,,,,False,True,1,high,,holt_winters
A05,A05,2024-02,0.5159950145409223,,,,False,True,1,high,,holt_winters
A05,A05,2024-03,0.5158371040723982,,,,False,True,1,high,,holt_winters
A05,A05,2024-04,0.5196678775298391,,,,False,True,1,high,,holt_winters
A05,A05,2024-05,0.5216315216315216,,,,False,True,1,high,,holt_winters
A05,A05,2024-06,0.5244380284594762,,,,False,True,1,high,,holt_winters
A05,A05,2024-07,0.5077486910994764,,,,False,True,1,high,,holt_winters
A05,A05,2024-08,0.5164357236775564,,,,False,True,1,high,,holt_winters
A05,A05,2024-09,0.5134133042529989,,,,False,False,1,high,,holt_winters
A05,A05,2024-10,0.5122149011657374,,,,False,False,1,high,,holt_winters
A05,A05,2024-11,0.5131983462313155,,,,False,False,1,high,,holt_winters
A05,A05,2024-12,0.5190489057011618,,,,False,False,1,high,,holt_winters
A05,A05,2025-01,0.5095377517522847,,,,False,False,1,high,,holt_winters
A05,A05,2025-02,0.5216872695727608,,,,False,False,1,high,,holt_winters
A05,A05,2025-03,0.5235352532274081,,,,False,False,1,high,,holt_winters
A05,A05,2025-04,0.5070864437953045,,,,False,False,1,high,,holt_winters
A05,A05,2025-05,0.5131945934348853,,,,False,False,1,high,,holt_winters
A05,A05,2025-06,0.5192267283042656,,,,False,False,1,high,,holt_winters
A05,A05,2025-07,0.5165602553870711,,,,False,False,1,high,,holt_winters
A05,A05,2025-08,0.5081403579735059,,,,False,False,1,high,,holt_winters
A05,A05,2025-09,0.5141045265689919,,,,False,False,1,high,,holt_winters
A05,A05,2025-10,0.5100497306257771,,,,False,False,1,high,,holt_winters
A05,A05,2025-11,0.5183023872679046,,,,False,False,1,high,,holt_winters
A05,A05,2025-12,0.5115725307172112,,,,False,False,1,high,,holt_winters
A05,A05,2026-01,0.5171016677659475,,,,False,False,1,high,,holt_winters
A05,A05,2026-02,0.5160450997398092,,,,False,False,1,high,,holt_winters
A05,A05,2026-03,0.5175455792981768,,,,False,False,1,high,,holt_winters
A05,A05,2026-04,0.5113636363636364,,,,False,False,1,high,,holt_winters
A05,A05,2026-05,,0.514069,0.50399,0.524147,True,False,1,high,,holt_winters
A05,A05,2026-06,,0.514085,0.503958,0.524213,True,False,1,high,,holt_winters
A05,A05,2026-07,,0.514102,0.503769,0.524435,True,False,1,high,,holt_winters
A06,A06,2023-01,0.5101064985872636,,,,False,False,1,high,,holt_winters
A06,A06,2023-02,0.5075297819734772,,,,False,False,1,high,,holt_winters
A06,A06,2023-03,0.5103775449693615,,,,False,False,1,high,,holt_winters
A06,A06,2023-04,0.5249033920137398,,,,False,False,1,high,,holt_winters
A06,A06,2023-05,0.5144024912417283,,,,False,False,1,high,,holt_winters
A06,A06,2023-06,0.5049235281793422,,,,False,False,1,high,,holt_winters
A06,A06,2023-07,0.5203707695624057,,,,False,False,1,high,,holt_winters
A06,A06,2023-08,0.5116179001721171,,,,False,False,1,high,,holt_winters
A06,A06,2023-09,0.5141002685765443,,,,False,False,1,high,,holt_winters
A06,A06,2023-10,0.5158694680375503,,,,False,False,1,high,,holt_winters
A06,A06,2023-11,0.5105179823569328,,,,False,False,1,high,,holt_winters
A06,A06,2023-12,0.5161290322580645,,,,False,False,1,high,,holt_winters
A06,A06,2024-01,0.5042513863216266,,,,False,False,1,high,,holt_winters
A06,A06,2024-02,0.5138737164081276,,,,False,False,1,high,,holt_winters
A06,A06,2024-03,0.5018270401948843,,,,False,False,1,high,,holt_winters
A06,A06,2024-04,0.5256835128417564,,,,False,False,1,high,,holt_winters
A06,A06,2024-05,0.5244210935979763,,,,False,False,1,high,,holt_winters
A06,A06,2024-06,0.5116872078198045,,,,False,False,1,high,,holt_winters
A06,A06,2024-07,0.5140327745338105,,,,False,False,1,high,,holt_winters
A06,A06,2024-08,0.5156689433507433,,,,False,False,1,high,,holt_winters
A06,A06,2024-09,0.5120558375634517,,,,False,False,1,high,,holt_winters
A06,A06,2024-10,0.4930242541317879,,,,False,False,1,high,,holt_winters
A06,A06,2024-11,0.5087719298245614,,,,False,False,1,high,,holt_winters
A06,A06,2024-12,0.5094555873925501,,,,False,False,1,high,,holt_winters
A06,A06,2025-01,0.5078566939032055,,,,False,False,1,high,,holt_winters
A06,A06,2025-02,0.508574353724085,,,,False,False,1,high,,holt_winters
A06,A06,2025-03,0.5075877689694224,,,,False,False,1,high,,holt_winters
A06,A06,2025-04,0.5177057356608479,,,,False,False,1,high,,holt_winters
